epoch,train_loss,eval_loss,accuracy,macro_f1,precision,recall,pearson,spearman,time_per_epoch,trainable_params,total_params,model_name,dataset_name,setting,best_metric_so_far,patience_counter,is_new_best
1,0.31721073534661054,0.25511492702732735,0.8889438535740787,0.882907026809111,0.877529788232032,0.8910194442378848,,,1443.1746220588684,33360770,33360770,microsoft/MiniLM-L12-H384-uncased,qqp,single_task,0.8889438535740787,0,True
2,0.23506908704464557,0.23705752299733082,0.9000742023250062,0.8938851489573354,0.8899169985015574,0.8988882535400753,,,1451.7608268260956,33360770,33360770,microsoft/MiniLM-L12-H384-uncased,qqp,single_task,0.9000742023250062,0,True
3,0.1969226786091815,0.23732788383789785,0.9032154340836013,0.8975958832158011,0.8926879956355576,0.9043177507626323,,,1449.227788925171,33360770,33360770,microsoft/MiniLM-L12-H384-uncased,qqp,single_task,0.9032154340836013,0,True
4,0.16533211689098729,0.23023145178648277,0.9062329953005194,0.9005621361638099,0.8961615051112913,0.9062711492092471,,,1449.989485502243,33360770,33360770,microsoft/MiniLM-L12-H384-uncased,qqp,single_task,0.9062329953005194,0,True
5,0.13972957544252354,0.2548720311794188,0.9074202325006183,0.9023495193294242,0.8967353350624554,0.9106449702169559,,,1453.1900162696838,33360770,33360770,microsoft/MiniLM-L12-H384-uncased,qqp,single_task,0.9074202325006183,0,True
6,0.11857139190736571,0.24691867301405607,0.9082364580756864,0.9027293381723762,0.8981923722355705,0.9086696052261571,,,1445.8007175922394,33360770,33360770,microsoft/MiniLM-L12-H384-uncased,qqp,single_task,0.9082364580756864,0,True
7,0.10174353253696693,0.2622452674992088,0.9102646549591887,0.9040440479724574,0.9021407821564706,0.9061254178558089,,,1453.0849347114563,33360770,33360770,microsoft/MiniLM-L12-H384-uncased,qqp,single_task,0.9102646549591887,0,True
8,0.08784050940389847,0.3011645448561375,0.910413059609201,0.9050128391216895,0.9005115682724998,0.9108686528867201,,,1454.4537575244904,33360770,33360770,microsoft/MiniLM-L12-H384-uncased,qqp,single_task,0.910413059609201,0,True
9,0.0764740522789748,0.2938351533952231,0.9110808805342567,0.9052009934627328,0.9022837922526998,0.908579602226057,,,1456.4946448802948,33360770,33360770,microsoft/MiniLM-L12-H384-uncased,qqp,single_task,0.9110808805342567,0,True
10,0.5575322220024145,0.7048639178296693,0.8160029680930002,0.7936939091660598,0.8125872887125042,0.7837877501899636,,,1336.0622725486755,33360770,33360770,microsoft/MiniLM-L12-H384-uncased,qqp,single_task,0.9110808805342567,1,False
11,0.5550619758147605,0.7048639178296693,0.8160029680930002,0.7936939091660598,0.8125872887125042,0.7837877501899636,,,1343.473545074463,33360770,33360770,microsoft/MiniLM-L12-H384-uncased,qqp,single_task,0.9110808805342567,2,False
12,0.5578827104650725,0.7048639178296693,0.8160029680930002,0.7936939091660598,0.8125872887125042,0.7837877501899636,,,1351.755398273468,33360770,33360770,microsoft/MiniLM-L12-H384-uncased,qqp,single_task,0.9110808805342567,3,False
