epoch,train_loss,eval_loss,accuracy,precision,recall,macro_f1,pearson,spearman,inference_latency_ms,throughput_samples_per_sec,peak_vram_mb,time_per_epoch
1,0.5168711313242838,0.4699900640717036,0.7647786297303982,0.7506324410468527,0.7632825367683196,0.7542563323021962,nan,nan,0.2144176015625021,4663.796221545286,387.1845703125,359.39237449199993
2,0.4653135223042083,0.510079499664186,0.7483551817956963,0.753002533762317,0.7716065749200187,0.7449670472368716,nan,nan,0.20502934906247106,4877.3505089522905,387.1845703125,361.4749629789999
3,0.4419667308224756,0.4970969319154945,0.7692307692307693,0.765609320395483,0.7852107890775847,0.7641745415943411,nan,nan,0.20717856093739329,4826.754252348472,387.18359375,365.7677981060001
4,0.42570783633736464,0.4987551585499999,0.7691318327974277,0.7671729876474765,0.7870669193246613,0.7645498904306798,nan,nan,0.2326522187500757,4298.261178734942,387.18408203125,361.16522235799994
5,0.41177389209413684,0.5014721645584589,0.7797180311649765,0.7724725342332543,0.7916595510448639,0.7736719929885869,nan,nan,0.20287396593758444,4929.168685486519,387.1845703125,358.29365521499994
6,0.40348680639314666,0.5063657804946357,0.7816967598318081,0.7762374581845072,0.7962532084402814,0.7763416154918665,nan,nan,0.20531249749993208,4870.6241080152995,387.18408203125,360.3456571739998
7,0.39499105338543516,0.49088480592339856,0.7904526341825378,0.7835193630591999,0.8035886666307681,0.7848009131238289,nan,nan,0.20978805343759177,4766.715661897699,387.18603515625,358.897888425
8,0.3872531247514029,0.494653363488143,0.7911204551075933,0.7842526606314408,0.804397497010584,0.7855096796332208,nan,nan,0.20100487249990806,4975.003777584831,387.18359375,363.4474358000002
9,0.3801427165642754,0.5187712639240147,0.7949789760079149,0.7867357468459761,0.8064416677137101,0.7889397086229512,nan,nan,0.20274586812490725,4932.283006546511,387.1845703125,359.11613655200017
10,0.3740656375662233,0.4901444037928234,0.7970071728914173,0.7894710727508798,0.8097007507087843,0.7913013946654078,nan,nan,0.20999765249996472,4761.957993793136,387.1845703125,360.3717584189999
11,0.36945727840819464,0.498176320279135,0.7983428147415286,0.7901802164900967,0.8101549538830781,0.7924276431812503,nan,nan,0.22391044593774723,4466.071226878023,387.18408203125,360.2193436719999
12,0.3647383915172142,0.477125566853564,0.8034380410586198,0.7936068005639005,0.8127292277263943,0.7969277523831224,nan,nan,0.22628224875006708,4419.25959956549,387.1845703125,361.96456329099965
13,0.35913965393916963,0.5003064532257333,0.8042047984170171,0.7934965953910423,0.8118501385943634,0.7972615277658994,nan,nan,0.21154918343739837,4727.033135989012,387.18408203125,363.23561284100015
